,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,score
118,NoneType,True,entropy,NoneType,0.2,1,8,128,14,0.8455
119,PCA,True,gini,8,0.45,19,3,512,14,0.806
120,PCA,False,entropy,NoneType,0.4,20,20,512,14,0.807
121,NoneType,False,entropy,12,0.45,1,19,256,14,0.8390000000000001
122,PCA,False,gini,11,0.45,1,2,32,14,0.8210000000000001
123,NoneType,False,gini,NoneType,0.3,20,20,256,14,0.819
124,NoneType,True,entropy,8,0.4,4,15,256,14,0.8295
125,NoneType,True,entropy,NoneType,0.25,1,18,512,14,0.834
126,PCA,False,gini,NoneType,0.1,2,12,256,14,0.8234999999999999
127,NoneType,False,entropy,11,0.2,1,10,64,14,0.8445
128,NoneType,False,entropy,9,0.35000000000000003,1,6,32,14,0.8380000000000001
129,NoneType,True,gini,NoneType,0.1,1,4,256,14,0.8370000000000001
130,PCA,True,entropy,NoneType,0.1,6,2,64,14,0.8089999999999999
131,NoneType,False,gini,8,0.45,20,20,512,14,0.8019999999999999
132,NoneType,True,gini,NoneType,0.45,18,18,16,14,0.785
133,NoneType,False,entropy,8,0.25,16,15,512,14,0.8285
134,NoneType,False,gini,11,0.05,17,2,512,14,0.8089999999999999
135,PCA,False,entropy,NoneType,0.35000000000000003,1,8,128,14,0.8334999999999999
136,NoneType,True,gini,10,0.15000000000000002,6,8,512,14,0.827
137,NoneType,True,gini,NoneType,0.15000000000000002,2,12,64,14,0.8320000000000001
138,NoneType,False,entropy,8,0.2,1,13,128,14,0.8474999999999999
139,NoneType,False,gini,NoneType,0.35000000000000003,1,3,256,14,0.8415000000000001
140,PCA,False,gini,NoneType,0.3,3,2,512,14,0.8295
141,NoneType,False,entropy,12,0.25,1,12,256,14,0.8525
142,NoneType,True,gini,11,0.45,1,20,512,14,0.8175000000000001
143,NoneType,False,entropy,NoneType,0.25,6,11,256,14,0.842
144,NoneType,False,gini,NoneType,0.4,1,5,64,14,0.8404999999999999
145,NoneType,True,entropy,9,0.25,1,6,256,14,0.8415000000000001
146,NoneType,True,entropy,12,0.25,3,5,256,14,0.8455
147,NoneType,False,entropy,12,0.25,20,2,512,14,0.8234999999999999
148,PCA,False,gini,NoneType,0.35000000000000003,1,16,128,14,0.8305
149,NoneType,False,entropy,8,0.4,2,14,8,14,0.8195
150,NoneType,True,entropy,12,0.15000000000000002,8,3,512,14,0.8319999999999999
151,PCA,True,entropy,12,0.45,1,20,32,14,0.8244999999999999
152,PCA,False,gini,NoneType,0.45,6,3,512,14,0.8240000000000001
153,NoneType,False,entropy,NoneType,0.45,4,2,256,14,0.843
154,PCA,True,gini,NoneType,0.25,20,18,512,14,0.8065
155,NoneType,True,gini,12,0.2,20,20,128,14,0.8035
156,PCA,True,entropy,12,0.15000000000000002,20,2,512,14,0.8085000000000001
157,NoneType,False,entropy,NoneType,0.3,11,2,128,14,0.8335000000000001
158,NoneType,False,entropy,NoneType,0.3,6,19,64,14,0.8365000000000002
159,PCA,False,entropy,10,0.15000000000000002,19,20,32,14,0.8145
160,PCA,False,entropy,12,0.45,2,16,16,14,0.8065
161,NoneType,True,entropy,8,0.25,8,18,64,14,0.8265
162,NoneType,False,gini,NoneType,0.05,2,9,512,14,0.8285
163,NoneType,False,gini,12,0.45,14,16,512,14,0.8190000000000002
164,PCA,True,gini,12,0.4,20,2,8,14,0.767
165,PCA,False,entropy,9,0.05,20,3,8,14,0.6945
166,NoneType,True,gini,9,0.45,5,3,8,14,0.7875
167,NoneType,False,entropy,12,0.25,2,2,64,14,0.8460000000000001
168,NoneType,False,gini,9,0.45,1,2,64,14,0.8210000000000001
169,PCA,True,gini,NoneType,0.2,4,3,32,14,0.8185
170,NoneType,False,entropy,12,0.2,2,20,32,14,0.8280000000000001
171,NoneType,False,entropy,11,0.35000000000000003,1,3,32,14,0.8445
172,PCA,False,entropy,NoneType,0.45,14,6,64,14,0.8095000000000001
173,NoneType,True,entropy,9,0.2,1,19,512,14,0.8345
174,NoneType,False,gini,8,0.45,20,20,16,14,0.797
175,NoneType,False,entropy,10,0.3,2,5,128,14,0.8480000000000001
176,PCA,True,gini,NoneType,0.25,2,2,256,14,0.835
177,PCA,True,gini,8,0.2,18,20,512,14,0.805
178,NoneType,False,entropy,8,0.4,11,2,32,14,0.8324999999999999
179,NoneType,True,entropy,8,0.45,1,5,32,14,0.8290000000000001
180,NoneType,True,entropy,12,0.45,1,5,512,14,0.8400000000000001
181,PCA,False,entropy,8,0.3,1,4,32,14,0.8205
182,NoneType,False,entropy,12,0.3,2,7,512,14,0.8495000000000001
183,PCA,False,entropy,NoneType,0.45,1,20,512,14,0.8215
184,PCA,False,entropy,8,0.4,13,19,32,14,0.8085000000000001
185,PCA,False,entropy,8,0.45,20,2,256,14,0.8125
186,NoneType,False,entropy,8,0.25,19,8,128,14,0.8225
187,PCA,False,gini,11,0.3,2,9,64,14,0.8215
188,NoneType,True,entropy,10,0.3,8,9,32,14,0.825
189,PCA,False,entropy,8,0.05,20,4,256,14,0.7995
190,NoneType,True,gini,NoneType,0.3,3,2,64,14,0.828
191,NoneType,False,entropy,NoneType,0.2,2,8,512,14,0.8525
192,NoneType,False,entropy,12,0.45,1,3,16,14,0.834
193,NoneType,False,entropy,NoneType,0.45,1,11,128,14,0.8464999999999998
194,PCA,True,gini,11,0.05,1,8,512,14,0.818
195,PCA,True,gini,NoneType,0.45,13,5,512,14,0.8145
196,NoneType,False,entropy,NoneType,0.45,8,20,32,14,0.8355
197,PCA,False,entropy,NoneType,0.25,20,19,16,14,0.8045
198,PCA,False,entropy,NoneType,0.1,3,3,64,14,0.8215
199,NoneType,False,entropy,NoneType,0.15000000000000002,2,17,256,14,0.842
200,PCA,False,entropy,11,0.15000000000000002,1,10,256,14,0.8265
201,PCA,False,entropy,NoneType,0.2,1,19,512,14,0.8300000000000001
202,NoneType,False,entropy,NoneType,0.45,4,18,512,14,0.841
203,NoneType,True,gini,NoneType,0.25,8,19,512,14,0.8215
204,PCA,True,entropy,NoneType,0.05,17,19,64,14,0.7955
205,NoneType,False,entropy,NoneType,0.25,2,7,256,14,0.8505
206,NoneType,False,entropy,8,0.05,2,2,512,14,0.8230000000000001
207,NoneType,False,entropy,8,0.45,2,9,512,14,0.8414999999999999
208,NoneType,False,entropy,8,0.45,1,6,128,14,0.841
209,PCA,False,gini,NoneType,0.05,20,2,128,14,0.7995
210,NoneType,True,entropy,NoneType,0.05,20,18,512,14,0.8009999999999999
211,NoneType,False,entropy,8,0.05,17,20,32,14,0.796
212,NoneType,False,entropy,8,0.1,3,3,64,14,0.8350000000000002
213,NoneType,False,gini,NoneType,0.05,5,3,16,14,0.808
214,NoneType,True,gini,12,0.15000000000000002,2,5,64,14,0.8320000000000001
215,NoneType,False,gini,11,0.2,1,2,16,14,0.8285
216,NoneType,False,entropy,NoneType,0.15000000000000002,1,8,8,14,0.8164999999999999
217,PCA,False,entropy,NoneType,0.1,5,2,512,14,0.828
218,NoneType,False,entropy,8,0.25,8,3,512,14,0.833
219,NoneType,True,entropy,8,0.35000000000000003,14,4,512,14,0.8205
220,NoneType,False,gini,NoneType,0.45,3,20,64,14,0.8355
221,NoneType,True,entropy,11,0.45,20,20,512,14,0.8065
222,NoneType,False,entropy,9,0.25,1,5,256,14,0.8550000000000001
223,NoneType,False,entropy,NoneType,0.45,1,10,32,14,0.8445
224,PCA,False,entropy,12,0.1,20,18,8,14,0.7615000000000001
225,PCA,False,entropy,8,0.4,20,3,128,14,0.8090000000000002
226,NoneType,False,entropy,9,0.25,3,10,128,14,0.8445
227,NoneType,True,entropy,10,0.25,4,19,64,14,0.825
228,NoneType,False,entropy,12,0.1,2,18,64,14,0.8345
229,NoneType,True,entropy,NoneType,0.4,14,2,256,14,0.0
230,NoneType,False,gini,NoneType,0.25,2,20,8,14,0.8154999999999999
231,PCA,False,entropy,8,0.25,16,17,128,14,0.818
232,PCA,False,gini,NoneType,0.35000000000000003,6,20,8,14,0.8089999999999999
233,NoneType,False,entropy,8,0.45,20,3,512,14,0.8109999999999999
234,NoneType,False,gini,8,0.25,18,2,128,14,0.8095000000000001
235,NoneType,False,entropy,10,0.4,2,17,64,14,0.8425
236,NoneType,False,gini,NoneType,0.15000000000000002,7,10,64,14,0.8314999999999999
237,NoneType,False,entropy,NoneType,0.1,1,4,16,14,0.8275
238,NoneType,False,entropy,12,0.35000000000000003,1,20,512,14,0.8400000000000001
239,NoneType,True,entropy,9,0.45,7,20,512,14,0.819
240,NoneType,False,gini,8,0.05,1,2,128,14,0.8119999999999999
241,PCA,True,gini,8,0.2,1,9,64,14,0.8145
242,NoneType,True,entropy,8,0.2,1,7,128,14,0.834
243,NoneType,True,entropy,12,0.4,1,14,128,14,0.8394999999999999
244,NoneType,False,gini,NoneType,0.2,3,3,512,14,0.8435
245,NoneType,False,gini,NoneType,0.25,1,14,512,14,0.0
246,NoneType,False,gini,NoneType,0.35000000000000003,2,5,256,14,0.8450000000000001
247,PCA,True,gini,8,0.45,2,19,512,14,0.818
248,PCA,False,entropy,NoneType,0.05,17,10,256,14,0.8105
249,PCA,True,entropy,10,0.45,9,15,256,14,0.8225
250,PCA,False,gini,NoneType,0.45,1,3,256,14,0.827
251,PCA,False,entropy,NoneType,0.25,20,17,512,14,0.8145
252,PCA,True,entropy,10,0.45,9,15,256,14,0.8225
253,PCA,False,entropy,NoneType,0.05,17,10,256,14,0.8105
254,NoneType,True,entropy,9,0.25,14,4,8,14,0.7735000000000001
255,PCA,True,gini,NoneType,0.4,2,2,64,14,0.826
256,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.8074999999999999
257,PCA,False,gini,8,0.25,17,19,8,14,0.788
258,NoneType,False,entropy,NoneType,0.15000000000000002,16,11,128,14,0.8265
259,PCA,True,gini,10,0.15000000000000002,3,8,32,14,0.812
260,NoneType,True,gini,8,0.35000000000000003,2,17,16,14,0.8074999999999999
261,NoneType,True,entropy,NoneType,0.25,1,20,256,14,0.835
