,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,score
23110,DualImputer,False,gini,9,0.4,4,15,64,41,0.9415387894288149
23111,"['DualImputer', 'PCA']",False,gini,10,0.15000000000000002,10,4,256,41,0.9283248081841432
23112,"['DualImputer', 'PCA']",True,entropy,8,0.25,2,12,256,41,0.9356777493606139
23113,DualImputer,False,entropy,8,0.45,20,15,8,41,0.8375745950554135
23114,"['DualImputer', 'PCA']",False,entropy,NoneType,0.4,16,13,512,41,0.9107843137254902
23115,"['DualImputer', 'PCA']",False,gini,NoneType,0.1,1,19,64,41,0.9356777493606137
23116,"['DualImputer', 'PCA']",True,gini,10,0.45,4,3,512,41,0.9327365728900254
23117,DualImputer,False,gini,8,0.3,8,5,64,41,0.9283248081841432
23118,"['DualImputer', 'OneHotEncoder']",False,gini,10,0.2,2,18,32,41,0.9356990622335891
23119,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.1,1,3,512,41,0.9401108269394713
23120,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.45,3,3,512,41,0.9297953964194374
23121,"['DualImputer', 'PCA']",True,gini,10,0.45,6,4,128,41,0.9239556692242112
23122,DualImputer,False,gini,NoneType,0.45,2,3,32,41,0.9385976129582266
23123,DualImputer,False,entropy,NoneType,0.25,1,19,128,41,0.9444799658994032
23124,"['DualImputer', 'PCA']",True,gini,10,0.25,5,6,512,41,0.9371483375959079
23125,"['DualImputer', 'PCA']",False,entropy,10,0.25,19,2,128,41,0.9049019607843137
23126,"['DualImputer', 'PCA']",False,entropy,NoneType,0.05,4,15,256,41,0.9386402387041773
23127,DualImputer,False,gini,12,0.45,2,11,256,41,0.9473998294970162
23128,"['DualImputer', 'OneHotEncoder']",True,gini,8,0.4,1,4,16,41,0.9268968456947997
23129,"['DualImputer', 'PCA']",False,gini,9,0.45,1,17,32,41,0.9225063938618925
23130,DualImputer,False,entropy,NoneType,0.4,7,5,64,41,0.9356351236146632
23131,DualImputer,False,gini,NoneType,0.35000000000000003,1,17,64,41,0.944458653026428
23132,DualImputer,False,entropy,9,0.4,11,3,512,41,0.9137041773231032
23133,"['DualImputer', 'PCA']",False,entropy,11,0.05,1,20,128,41,0.9283887468030689
23134,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.45,1,12,128,41,0.9502557544757033
23135,DualImputer,False,entropy,NoneType,0.15000000000000002,20,16,32,41,0.8624254049445865
23136,DualImputer,False,gini,10,0.25,1,3,8,41,0.9429880647911337
23137,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.45,1,2,128,41,0.9415387894288149
23138,"['DualImputer', 'PCA']",True,gini,8,0.1,1,3,64,41,0.9328005115089513
23139,DualImputer,False,gini,8,0.2,13,15,32,41,0.9078005115089514
23140,"['DualImputer', 'PCA']",False,entropy,12,0.45,13,9,128,41,0.9166027280477408
23141,DualImputer,False,gini,NoneType,0.4,1,6,256,41,0.9429880647911337
23142,DualImputer,True,entropy,NoneType,0.45,1,15,8,41,0.9342071611253197
23143,DualImputer,False,entropy,12,0.4,1,15,128,41,0.9488064791133844
23144,"['DualImputer', 'PCA']",True,gini,NoneType,0.15000000000000002,1,5,256,41,0.9444799658994032
23145,DualImputer,False,gini,NoneType,0.25,1,10,512,41,0.9517902813299232
23146,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.4,1,3,512,41,0.9268968456947995
23147,"['DualImputer', 'PCA']",True,gini,8,0.05,9,3,512,41,0.9079070758738277
23148,"['DualImputer', 'PCA']",False,entropy,NoneType,0.35000000000000003,20,3,16,41,0.9004901960784313
23149,"['DualImputer', 'OneHotEncoder']",True,gini,9,0.4,1,6,16,41,0.9356777493606139
23150,DualImputer,True,gini,NoneType,0.2,2,6,8,41,0.9356351236146632
23151,"['DualImputer', 'OneHotEncoder']",True,entropy,11,0.45,19,20,8,41,0.7673273657289003
23152,DualImputer,False,entropy,8,0.4,1,5,8,41,0.9327152600170502
23153,"['DualImputer', 'PCA']",True,gini,NoneType,0.45,2,5,512,41,0.9312872975277067
23154,"['DualImputer', 'OneHotEncoder']",False,entropy,8,0.1,20,20,512,41,0.8727195225916453
23155,"['DualImputer', 'OneHotEncoder']",True,gini,8,0.25,6,20,512,41,0.9107630008525149
23156,DualImputer,False,gini,8,0.15000000000000002,5,2,512,41,0.9356777493606137
23157,"['DualImputer', 'PCA']",False,gini,8,0.45,14,5,512,41,0.9122762148337596
23158,"['DualImputer', 'PCA']",True,gini,NoneType,0.4,1,2,8,41,0.9108056265984656
23159,DualImputer,True,gini,NoneType,0.1,1,17,128,41,0.9415387894288149
23160,DualImputer,False,entropy,NoneType,0.15000000000000002,15,20,512,41,0.9151960784313724
23161,DualImputer,True,gini,10,0.45,1,3,64,41,0.9429667519181585
23162,DualImputer,True,gini,8,0.25,6,2,8,41,0.9063086104006821
23163,"['DualImputer', 'PCA']",True,entropy,8,0.25,3,19,512,41,0.9254049445865302
23164,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.1,1,2,8,41,0.9400895140664961
23165,"['DualImputer', 'PCA']",True,gini,NoneType,0.45,7,13,64,41,0.9225277067348678
23166,DualImputer,False,entropy,9,0.35000000000000003,14,4,64,41,0.9136828644501278
23167,"['DualImputer', 'PCA']",True,entropy,NoneType,0.05,1,2,256,41,0.9371909633418586
23168,"['DualImputer', 'PCA']",True,gini,8,0.4,7,2,16,41,0.9034953111679453
23169,"['DualImputer', 'OneHotEncoder']",True,gini,8,0.05,16,19,512,41,0.7966112531969309
23170,"['DualImputer', 'PCA']",True,entropy,NoneType,0.15000000000000002,16,18,64,41,0.8742114236999148
23171,DualImputer,True,entropy,11,0.45,20,3,128,41,0.7966325660699062
23172,"['DualImputer', 'OneHotEncoder']",False,entropy,8,0.15000000000000002,20,2,32,41,0.8463341858482524
23173,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.3,8,4,64,41,0.9035379369138961
23174,"['DualImputer', 'PCA']",False,entropy,8,0.15000000000000002,7,2,512,41,0.9400682011935209
23175,"['DualImputer', 'PCA']",False,gini,NoneType,0.15000000000000002,2,2,128,41,0.9385976129582267
23176,DualImputer,True,gini,8,0.35000000000000003,4,4,512,41,0.9400682011935209
23177,"['DualImputer', 'PCA']",True,gini,8,0.35000000000000003,1,20,256,41,0.9327578857630007
23178,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.45,16,2,32,41,0.8932011935208866
23179,"['DualImputer', 'OneHotEncoder']",True,gini,NoneType,0.25,1,13,512,41,0.9385976129582266
23180,"['DualImputer', 'PCA']",True,gini,9,0.45,7,16,512,41,0.9225063938618925
23181,DualImputer,True,gini,8,0.35000000000000003,6,12,512,41,0.934164535379369
23182,"['DualImputer', 'PCA']",False,entropy,8,0.45,16,3,8,41,0.863917306052856
23183,DualImputer,False,gini,11,0.45,1,14,8,41,0.9488277919863597
23184,DualImputer,False,gini,NoneType,0.45,3,15,8,41,0.9400895140664961
23185,DualImputer,True,entropy,NoneType,0.15000000000000002,1,20,512,41,0.9415601023017903
23186,DualImputer,True,gini,NoneType,0.2,1,9,256,41,0.9444799658994032
23187,"['DualImputer', 'PCA']",False,entropy,NoneType,0.05,2,8,512,41,0.9371909633418584
23188,DualImputer,False,gini,8,0.3,1,20,512,41,0.941538789428815
23189,DualImputer,True,gini,NoneType,0.25,1,3,8,41,0.9371483375959079
23190,"['DualImputer', 'PCA']",False,gini,11,0.45,11,18,256,41,0.9136828644501278
23191,DualImputer,False,entropy,NoneType,0.4,1,10,512,41,0.9532182438192669
23192,DualImputer,False,gini,8,0.2,1,12,16,41,0.9327578857630009
23193,DualImputer,False,entropy,NoneType,0.15000000000000002,1,2,16,41,0.9400255754475703
23194,"['DualImputer', 'PCA']",False,entropy,NoneType,0.25,3,16,64,41,0.9297740835464621
23195,DualImputer,True,gini,8,0.45,1,6,8,41,0.9372122762148336
23196,"['DualImputer', 'OneHotEncoder']",False,gini,9,0.3,4,13,8,41,0.909313725490196
23197,"['DualImputer', 'PCA']",False,entropy,8,0.1,11,18,256,41,0.9297953964194374
23198,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.1,1,6,128,41,0.9371483375959079
23199,"['DualImputer', 'PCA']",False,entropy,NoneType,0.45,1,3,128,41,0.9414322250639386
23200,"['DualImputer', 'PCA']",False,gini,8,0.2,1,3,128,41,0.9430093776641091
23201,"['DualImputer', 'PCA']",False,entropy,8,0.45,1,17,512,41,0.9313086104006819
23202,DualImputer,False,gini,9,0.45,1,3,8,41,0.9444160272804772
23203,"['DualImputer', 'OneHotEncoder']",True,gini,9,0.3,1,18,512,41,0.9283461210571184
23204,"['DualImputer', 'PCA']",True,gini,8,0.35000000000000003,11,3,256,41,0.9092924126172208
23205,"['DualImputer', 'PCA']",True,gini,8,0.25,1,6,512,41,0.9400895140664961
23206,DualImputer,False,gini,8,0.45,1,16,128,41,0.9429880647911337
23207,DualImputer,True,entropy,8,0.2,1,2,128,41,0.9400895140664961
23208,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.4,1,18,256,41,0.9400895140664962
23209,"['DualImputer', 'OneHotEncoder']",False,entropy,10,0.45,1,17,512,41,0.9416027280477406
23210,"['DualImputer', 'PCA']",True,gini,NoneType,0.15000000000000002,1,3,32,41,0.9356777493606139
23211,DualImputer,True,gini,11,0.3,1,12,128,41,0.9400895140664961
23212,DualImputer,False,gini,11,0.45,1,14,64,41,0.9429880647911337
23213,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.15000000000000002,1,18,16,41,0.9415174765558396
23214,DualImputer,True,gini,NoneType,0.45,3,13,128,41,0.9473785166240409
23215,"['DualImputer', 'PCA']",False,gini,8,0.25,1,6,256,41,0.941538789428815
23216,"['DualImputer', 'PCA']",False,gini,9,0.35000000000000003,6,2,64,41,0.9341858482523444
23217,DualImputer,False,entropy,NoneType,0.2,7,16,8,41,0.9224424552429668
23218,"['DualImputer', 'PCA']",True,gini,11,0.2,1,2,64,41,0.9356990622335891
23219,DualImputer,True,gini,11,0.4,4,10,64,41,0.9415174765558396
23220,DualImputer,True,entropy,8,0.2,1,10,512,41,0.9444586530264278
23221,"['DualImputer', 'OneHotEncoder']",False,gini,10,0.45,5,5,32,41,0.919543904518329
23222,DualImputer,False,entropy,8,0.25,20,2,16,41,0.8448849104859335
23223,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.4,1,16,32,41,0.9445012787723783
23224,DualImputer,False,entropy,9,0.4,1,6,512,41,0.9459292412617222
23225,"['DualImputer', 'PCA']",False,gini,11,0.3,16,16,128,41,0.903452685421995
23226,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.45,1,19,128,41,0.9385976129582267
23227,DualImputer,False,entropy,8,0.05,1,17,32,41,0.9269394714407502
23228,"['DualImputer', 'PCA']",False,entropy,10,0.05,9,20,512,41,0.9254688832054561
23229,DualImputer,False,entropy,NoneType,0.05,1,18,128,41,0.9385976129582267
23230,DualImputer,False,entropy,12,0.45,6,11,512,41,0.9356351236146633
23231,DualImputer,False,gini,8,0.25,1,17,256,41,0.9371483375959079
23232,DualImputer,False,entropy,12,0.15000000000000002,1,20,64,41,0.9473998294970161
23233,DualImputer,True,gini,8,0.4,1,15,256,41,0.941538789428815
23234,"['DualImputer', 'PCA']",False,entropy,11,0.3,11,2,64,41,0.9254049445865302
23235,DualImputer,False,entropy,12,0.25,19,18,128,41,0.8741687979539643
23236,"['DualImputer', 'PCA']",False,entropy,9,0.1,6,12,128,41,0.9371270247229326
23237,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.45,1,6,256,41,0.9430093776641091
23238,DualImputer,False,entropy,NoneType,0.3,5,2,512,41,0.941538789428815
23239,"['DualImputer', 'PCA']",False,gini,12,0.4,1,9,64,41,0.929774083546462
23240,"['DualImputer', 'OneHotEncoder']",True,gini,NoneType,0.2,1,15,512,41,0.9356777493606137
23241,"['DualImputer', 'PCA']",False,gini,11,0.15000000000000002,1,15,512,41,0.9415601023017903
23242,NoneType,True,gini,8,0.25,4,20,128,12,0.9465
23243,NoneType,True,gini,9,0.15000000000000002,9,16,8,12,0.9339999999999999
23244,PCA,False,gini,NoneType,0.35000000000000003,7,6,16,12,0.9189999999999999
23245,NoneType,True,gini,11,0.3,3,5,64,12,0.9550000000000001
23246,NoneType,False,gini,11,0.25,12,15,32,12,0.9445
23247,PCA,False,gini,8,0.45,5,18,128,12,0.9115
23248,NoneType,False,gini,9,0.05,4,5,64,12,0.962
23249,NoneType,True,entropy,9,0.05,14,2,16,12,0.9369999999999999
23250,NoneType,False,gini,9,0.15000000000000002,2,10,512,12,0.96
23251,NoneType,False,entropy,8,0.2,3,3,512,12,0.9669999999999999
23252,PCA,False,entropy,9,0.3,3,2,128,12,0.9385
23253,PCA,True,entropy,10,0.15000000000000002,2,2,32,12,0.9359999999999999
23254,NoneType,False,entropy,8,0.05,11,2,512,12,0.9594999999999999
23255,NoneType,True,entropy,9,0.1,14,9,512,12,0.9540000000000001
23256,PCA,False,entropy,8,0.25,4,3,512,12,0.0
23257,PCA,False,entropy,12,0.15000000000000002,12,9,512,12,0.942
23258,PCA,True,entropy,8,0.25,7,6,256,12,0.9295000000000002
23259,PCA,True,entropy,9,0.4,4,3,512,12,0.9274999999999999
23260,NoneType,False,gini,8,0.1,9,3,256,12,0.954
23261,NoneType,False,gini,8,0.1,14,3,32,12,0.9385
23262,NoneType,False,entropy,10,0.05,1,3,512,12,0.9685
23263,PCA,True,gini,8,0.05,18,13,512,12,0.9450000000000001
23264,NoneType,False,entropy,11,0.3,12,4,512,12,0.9574999999999999
23265,PCA,False,gini,NoneType,0.15000000000000002,19,3,512,12,0.9369999999999999
23266,PCA,False,entropy,8,0.05,2,16,512,12,0.9575000000000001
23267,NoneType,True,gini,8,0.25,17,6,512,12,0.9385
23268,NoneType,False,gini,NoneType,0.3,4,4,512,12,0.959
23269,NoneType,True,entropy,8,0.3,4,2,8,12,0.9465
23270,PCA,True,entropy,8,0.2,2,15,512,12,0.9384999999999998
23271,PCA,True,entropy,12,0.1,4,2,512,12,0.9545
23272,PCA,False,entropy,11,0.45,12,3,64,12,0.898
23273,NoneType,True,entropy,8,0.4,11,8,512,12,0.9545
23274,PCA,True,gini,8,0.25,20,12,512,12,0.9099999999999999
23275,NoneType,False,gini,NoneType,0.35000000000000003,2,2,256,12,0.9594999999999999
23276,PCA,True,entropy,9,0.4,4,2,512,12,0.9274999999999999
23277,PCA,False,entropy,8,0.05,19,4,512,12,0.95
23278,NoneType,False,entropy,9,0.15000000000000002,3,3,512,12,0.9685
23279,DualImputer,False,gini,11,0.2,6,20,128,41,0.9327152600170502
23280,"['DualImputer', 'PCA']",False,gini,9,0.4,1,5,512,41,0.9327152600170503
23281,DualImputer,False,gini,8,0.3,11,19,256,41,0.9180306905370845
23282,"['DualImputer', 'OneHotEncoder']",False,entropy,12,0.45,1,6,128,41,0.9459079283887467
23283,DualImputer,False,entropy,NoneType,0.3,2,11,128,41,0.9444586530264278
23284,DualImputer,False,entropy,12,0.25,2,11,512,41,0.9444799658994032
23285,"['DualImputer', 'PCA']",False,gini,12,0.05,3,3,64,41,0.9298593350383632
23286,"['DualImputer', 'PCA']",False,entropy,12,0.15000000000000002,14,20,128,41,0.9166027280477408
23287,"['DualImputer', 'PCA']",False,gini,NoneType,0.05,3,2,256,41,0.9357203751065644
23288,DualImputer,False,gini,NoneType,0.4,1,20,256,41,0.9459079283887467
23289,DualImputer,False,gini,12,0.45,4,2,512,41,0.944458653026428
23290,DualImputer,True,gini,NoneType,0.4,1,2,16,41,0.9356564364876385
23291,DualImputer,False,gini,NoneType,0.45,2,10,512,41,0.9473998294970162
23292,DualImputer,False,gini,8,0.45,3,6,128,41,0.945929241261722
23293,"['DualImputer', 'PCA']",False,gini,NoneType,0.15000000000000002,19,2,512,41,0.9122762148337596
23294,"['DualImputer', 'PCA']",True,gini,8,0.15000000000000002,1,6,512,41,0.9400682011935209
23295,"['DualImputer', 'OneHotEncoder']",True,entropy,8,0.2,1,5,8,41,0.923998294970162
23296,DualImputer,False,gini,8,0.45,8,3,8,41,0.919543904518329
23297,"['DualImputer', 'PCA']",True,gini,11,0.45,2,3,8,41,0.9122335890878089
23298,"['DualImputer', 'PCA']",False,gini,11,0.15000000000000002,20,20,512,41,0.9079070758738277
23299,DualImputer,False,entropy,12,0.4,2,12,512,41,0.9488704177323104
23300,DualImputer,False,gini,9,0.05,1,4,8,41,0.907843137254902
23301,"['DualImputer', 'PCA']",False,gini,8,0.1,4,16,256,41,0.944458653026428
23302,"['DualImputer', 'OneHotEncoder']",False,gini,9,0.45,1,12,128,41,0.9269394714407502
23303,DualImputer,False,gini,NoneType,0.05,1,3,512,41,0.9459505541346973
23304,"['DualImputer', 'OneHotEncoder']",True,gini,NoneType,0.4,1,9,64,41,0.9430306905370843
23305,"['DualImputer', 'PCA']",True,entropy,NoneType,0.45,9,8,512,41,0.9195652173913043
23306,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.3,5,11,64,41,0.9371483375959079
23307,"['DualImputer', 'PCA']",False,gini,8,0.3,8,20,512,41,0.9327365728900254
23308,"['DualImputer', 'OneHotEncoder']",False,gini,8,0.15000000000000002,1,3,256,41,0.9327365728900254
23309,DualImputer,False,entropy,9,0.05,1,3,64,41,0.9328218243819265
23310,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.35000000000000003,1,4,512,41,0.9371057118499573
23311,DualImputer,True,gini,11,0.45,1,18,128,41,0.9430093776641091
23312,"['DualImputer', 'PCA']",False,gini,8,0.15000000000000002,4,7,128,41,0.9415174765558396
23313,"['DualImputer', 'PCA']",False,gini,NoneType,0.35000000000000003,8,2,64,41,0.929774083546462
23314,DualImputer,False,gini,10,0.15000000000000002,1,20,256,41,0.944458653026428
23315,DualImputer,False,entropy,9,0.4,5,2,256,41,0.9371483375959079
23316,"['DualImputer', 'PCA']",True,gini,NoneType,0.45,2,11,512,41,0.9327578857630007
23317,"['DualImputer', 'PCA']",False,entropy,8,0.15000000000000002,3,20,64,41,0.928303495311168
23318,"['DualImputer', 'PCA']",False,gini,8,0.25,9,3,16,41,0.9137254901960784
23319,DualImputer,False,entropy,NoneType,0.2,14,20,512,41,0.9166453537936914
23320,DualImputer,True,gini,9,0.45,4,6,512,41,0.9444160272804775
23321,"['DualImputer', 'PCA']",True,gini,NoneType,0.25,1,8,512,41,0.9386402387041773
23322,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.15000000000000002,1,11,32,41,0.9371696504688831
23323,DualImputer,False,gini,8,0.45,6,7,512,41,0.9429880647911337
23324,DualImputer,False,gini,NoneType,0.3,9,2,512,41,0.9297740835464621
23325,DualImputer,False,gini,9,0.35000000000000003,2,2,64,41,0.9385763000852514
23326,"['DualImputer', 'PCA']",True,entropy,8,0.45,2,4,512,41,0.9312872975277067
23327,DualImputer,False,entropy,12,0.35000000000000003,1,13,512,41,0.9532182438192667
23328,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.15000000000000002,12,20,512,41,0.9107203751065643
23329,DualImputer,False,entropy,NoneType,0.3,1,16,512,41,0.944458653026428
23330,"['DualImputer', 'PCA']",True,gini,8,0.1,6,4,512,41,0.9371483375959079
23331,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.2,1,8,32,41,0.9415387894288149
23332,"['DualImputer', 'PCA']",False,entropy,8,0.25,14,7,512,41,0.919543904518329
23333,DualImputer,False,entropy,NoneType,0.45,1,16,512,41,0.9517476555839727
23334,DualImputer,False,gini,9,0.45,6,6,64,41,0.9400468883205455
23335,PCA,False,entropy,8,0.25,9,2,512,12,0.9309999999999998
23336,"['DualImputer', 'OneHotEncoder']",False,entropy,12,0.15000000000000002,1,6,8,41,0.9400468883205455
23337,PCA,False,entropy,8,0.1,4,12,512,12,0.9545
23338,"['DualImputer', 'PCA']",True,entropy,8,0.3,2,4,32,41,0.9268968456947997
23339,"['DualImputer', 'PCA']",False,entropy,8,0.15000000000000002,8,16,512,41,0.9400682011935209
23340,NoneType,True,gini,8,0.25,18,2,512,12,0.9389999999999998
23341,PCA,False,entropy,8,0.1,4,20,8,12,0.8859999999999999
23342,PCA,False,entropy,10,0.25,1,6,128,12,0.9480000000000001
23343,NoneType,True,entropy,8,0.15000000000000002,2,2,128,12,0.9635
23344,PCA,False,entropy,8,0.35000000000000003,4,3,128,12,0.93
23345,PCA,True,entropy,8,0.25,8,3,8,12,0.8815000000000002
23346,PCA,False,gini,8,0.15000000000000002,18,2,512,12,0.9345000000000001
23347,DualImputer,False,entropy,11,0.3,1,5,512,41,0.9473998294970162
23348,PCA,True,entropy,8,0.4,4,12,512,12,0.9205
23349,PCA,True,gini,8,0.2,2,3,16,12,0.916
23350,NoneType,False,gini,11,0.3,6,3,512,12,0.9534999999999998
23351,NoneType,True,gini,8,0.25,2,13,512,12,0.9509999999999998
23352,NoneType,False,gini,10,0.25,2,11,512,12,0.959
23353,PCA,False,entropy,10,0.25,4,3,128,12,0.9410000000000001
23354,PCA,False,entropy,8,0.45,3,3,256,12,0.925
23355,PCA,False,entropy,11,0.25,1,3,16,12,0.9369999999999999
23356,PCA,False,gini,8,0.3,3,16,16,12,0.9189999999999999
23357,NoneType,False,gini,8,0.25,20,3,128,12,0.9349999999999999
23358,PCA,False,entropy,9,0.05,4,3,128,12,0.9625
23359,PCA,False,gini,9,0.25,7,3,512,12,0.9390000000000001
23360,PCA,False,gini,NoneType,0.25,4,5,128,12,0.9474999999999998
23361,PCA,False,gini,8,0.4,6,3,512,12,0.0
23362,PCA,True,gini,8,0.2,6,2,512,12,0.9375
23363,DualImputer,False,entropy,NoneType,0.2,2,20,8,41,0.9414961636828645
23364,"['DualImputer', 'PCA']",False,entropy,NoneType,0.3,9,19,512,41,0.926854219948849
23365,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.05,2,20,512,41,0.9371483375959079
23366,"['DualImputer', 'OneHotEncoder']",True,gini,NoneType,0.45,1,18,512,41,0.9356351236146633
23367,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.4,1,5,32,41,0.9429880647911337
23368,"['DualImputer', 'PCA']",False,entropy,NoneType,0.3,19,5,512,41,0.9093350383631714
23369,DualImputer,True,gini,NoneType,0.2,1,6,512,41,0.9474211423699914
23370,"['DualImputer', 'PCA']",False,gini,NoneType,0.05,1,16,512,41,0.9371483375959079
23371,DualImputer,False,gini,NoneType,0.2,1,13,8,41,0.9430093776641091
23372,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.2,1,13,16,41,0.944458653026428
23373,DualImputer,False,gini,NoneType,0.35000000000000003,6,16,128,41,0.9429667519181585
23374,DualImputer,False,gini,12,0.25,12,5,32,41,0.9078005115089514
23375,DualImputer,False,entropy,NoneType,0.2,1,12,512,41,0.945929241261722
23376,"['DualImputer', 'PCA']",False,entropy,12,0.35000000000000003,1,19,8,41,0.9283674339300937
23377,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.45,1,11,128,41,0.944458653026428
23378,DualImputer,False,entropy,NoneType,0.1,1,18,8,41,0.9473998294970161
23379,DualImputer,True,gini,NoneType,0.45,1,19,32,41,0.9400682011935209
23380,"['DualImputer', 'PCA']",False,entropy,9,0.05,5,4,512,41,0.9313299232736572
23381,DualImputer,False,entropy,11,0.1,1,5,512,41,0.9473998294970162
23382,DualImputer,True,entropy,10,0.2,1,2,512,41,0.9445012787723785
23383,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.4,1,20,8,41,0.9284313725490196
23384,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.15000000000000002,1,9,8,41,0.9386402387041773
23385,DualImputer,True,entropy,NoneType,0.45,1,13,512,41,0.9385549872122763
23386,"['DualImputer', 'OneHotEncoder']",False,gini,12,0.25,2,2,512,41,0.9371483375959079
23387,"['DualImputer', 'PCA']",False,gini,8,0.15000000000000002,2,19,8,41,0.9122549019607844
23388,DualImputer,False,gini,NoneType,0.15000000000000002,1,18,256,41,0.9444799658994032
23389,DualImputer,False,entropy,NoneType,0.35000000000000003,1,10,512,41,0.9532395566922421
23390,DualImputer,False,gini,NoneType,0.45,6,19,64,41,0.9400468883205455
23391,DualImputer,True,entropy,NoneType,0.15000000000000002,1,17,32,41,0.9385976129582266
23392,"['DualImputer', 'PCA']",True,gini,NoneType,0.1,3,7,512,41,0.9385976129582267
23393,"['DualImputer', 'OneHotEncoder']",False,entropy,12,0.45,1,11,512,41,0.945929241261722
23394,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.15000000000000002,1,2,16,41,0.9342497868712704
23395,DualImputer,False,gini,9,0.35000000000000003,1,11,8,41,0.9429667519181585
23396,"['DualImputer', 'PCA']",False,entropy,NoneType,0.4,1,12,8,41,0.9282821824381926
23397,DualImputer,False,gini,10,0.05,1,19,8,41,0.8977195225916453
23398,"['DualImputer', 'PCA']",False,gini,8,0.3,1,19,128,41,0.9341858482523444
23399,"['DualImputer', 'PCA']",False,gini,NoneType,0.25,1,20,512,41,0.9386189258312021
23400,DualImputer,False,entropy,11,0.15000000000000002,1,11,16,41,0.9430306905370843
23401,DualImputer,True,entropy,9,0.1,1,2,8,41,0.9327365728900254
23402,"['DualImputer', 'PCA']",False,entropy,12,0.05,1,6,128,41,0.9357203751065641
23403,DualImputer,False,entropy,12,0.4,1,13,8,41,0.9488917306052855
23404,DualImputer,False,gini,NoneType,0.3,1,12,8,41,0.9445012787723785
23405,"['DualImputer', 'PCA']",False,entropy,8,0.3,4,2,512,41,0.9371270247229326
23406,"['DualImputer', 'PCA']",True,entropy,9,0.45,19,20,512,41,0.860997442455243
23407,DualImputer,True,gini,8,0.45,3,3,512,41,0.9429880647911337
23408,DualImputer,False,gini,12,0.4,3,10,16,41,0.9458866155157715
23409,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.2,3,20,16,41,0.9386189258312021
23410,"['DualImputer', 'PCA']",False,entropy,NoneType,0.25,2,2,512,41,0.9400468883205457
23411,DualImputer,False,entropy,9,0.05,1,2,512,41,0.9415387894288149
23412,DualImputer,False,entropy,8,0.2,2,4,512,41,0.9430520034100596
23413,"['DualImputer', 'PCA']",False,gini,9,0.05,5,10,512,41,0.9356777493606137
23414,DualImputer,False,gini,8,0.35000000000000003,1,10,512,41,0.941538789428815
23415,"['DualImputer', 'OneHotEncoder']",False,entropy,8,0.1,3,20,512,41,0.9268968456947997
23416,DualImputer,False,gini,12,0.4,1,18,512,41,0.9415174765558396
23417,"['DualImputer', 'OneHotEncoder']",False,gini,NoneType,0.35000000000000003,6,18,512,41,0.9312872975277067
23418,DualImputer,False,gini,NoneType,0.45,6,16,256,41,0.9444160272804775
23419,"['DualImputer', 'OneHotEncoder']",True,entropy,NoneType,0.05,1,16,512,41,0.9328005115089514
23420,DualImputer,False,entropy,NoneType,0.4,1,15,16,41,0.9502983802216539
23421,DualImputer,False,entropy,12,0.45,1,14,32,41,0.9488277919863599
23422,DualImputer,True,gini,NoneType,0.45,3,8,128,41,0.9429667519181585
23423,DualImputer,False,entropy,NoneType,0.4,1,14,512,41,0.9502770673486785
23424,DualImputer,False,gini,8,0.45,1,8,512,41,0.941538789428815
23425,"['DualImputer', 'OneHotEncoder']",False,entropy,NoneType,0.4,3,10,256,41,0.9386189258312021
23426,DualImputer,False,entropy,12,0.15000000000000002,1,17,8,41,0.9415387894288149
23427,"['DualImputer', 'OneHotEncoder']",True,gini,12,0.2,1,8,16,41,0.9342284739982949
23428,DualImputer,False,entropy,10,0.45,2,20,64,41,0.9356564364876385
23429,"['DualImputer', 'PCA']",False,entropy,8,0.3,1,17,512,41,0.937148337595908
