,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
308,gbdt,0.2,5,10,4,0.0019855499267578125,-0.020590261905317448
1392,dart,0.1,7,50,256,0.050255203247070314,-0.02058975205559157
1391,dart,0.1,7,50,128,0.047575879096984866,-0.02058975205559157
1362,dart,0.1,6,50,64,0.033184146881103514,-0.020584747672399446
1364,dart,0.1,6,50,256,0.03695371150970459,-0.020584747672399446
1363,dart,0.1,6,50,128,0.033879756927490234,-0.020584747672399446
1361,dart,0.1,6,50,32,0.0241849422454834,-0.020584068409644808
1389,dart,0.1,7,50,32,0.02783491611480713,-0.020575985024822024
1501,dart,0.1,-1,50,32,0.027359652519226074,-0.02057316389231776
1473,dart,0.1,10,50,32,0.025928711891174315,-0.02057316389231776
1445,dart,0.1,9,50,32,0.02576439380645752,-0.0205721794305067
1417,dart,0.1,8,50,32,0.027487897872924806,-0.020569503225467113
1336,dart,0.1,5,50,256,0.02490267753601074,-0.02053973433412546
1333,dart,0.1,5,50,32,0.02183825969696045,-0.02053973433412546
1335,dart,0.1,5,50,128,0.023804998397827147,-0.02053973433412546
1334,dart,0.1,5,50,64,0.020986485481262206,-0.02053973433412546
1015,gbdt,0.5,3,25,4,0.004165935516357422,-0.020374783767967357
1127,gbdt,0.5,7,25,4,0.004212474822998047,-0.020374783767967357
1099,gbdt,0.5,6,25,4,0.0030207395553588866,-0.020374783767967357
1043,gbdt,0.5,4,25,4,0.003957581520080566,-0.020374783767967357
1071,gbdt,0.5,5,25,4,0.005178499221801758,-0.020374783767967357
1155,gbdt,0.5,8,25,4,0.0028429508209228517,-0.020374783767967357
1183,gbdt,0.5,9,25,4,0.0029104471206665037,-0.020374783767967357
1211,gbdt,0.5,10,25,4,0.0030772209167480467,-0.020374783767967357
1239,gbdt,0.5,-1,25,4,0.00291590690612793,-0.020374783767967357
1736,dart,0.2,-1,10,4,0.0018913984298706056,-0.020122486844791395
1596,dart,0.2,6,10,4,0.004981017112731934,-0.020122486844791395
1512,dart,0.2,3,10,4,0.0019837379455566405,-0.020122486844791395
1540,dart,0.2,4,10,4,0.0022828102111816405,-0.020122486844791395
1652,dart,0.2,8,10,4,0.003723907470703125,-0.020122486844791395
1568,dart,0.2,5,10,4,0.0028992891311645508,-0.020122486844791395
1624,dart,0.2,7,10,4,0.001967906951904297,-0.020122486844791395
1708,dart,0.2,10,10,4,0.0019298553466796874,-0.020122486844791395
1680,dart,0.2,9,10,4,0.002753281593322754,-0.020122486844791395
1253,gbdt,0.5,-1,100,4,0.011385655403137207,-0.020005557355536052
1225,gbdt,0.5,10,100,4,0.008001875877380372,-0.020005557355536052
1197,gbdt,0.5,9,100,4,0.008168935775756836,-0.020005557355536052
1113,gbdt,0.5,6,100,4,0.012143158912658691,-0.020005557355536052
1169,gbdt,0.5,8,100,4,0.011735153198242188,-0.020005557355536052
1029,gbdt,0.5,3,100,4,0.013232684135437012,-0.020005557355536052
1085,gbdt,0.5,5,100,4,0.010161948204040528,-0.020005557355536052
1057,gbdt,0.5,4,100,4,0.012327623367309571,-0.020005557355536052
1141,gbdt,0.5,7,100,4,0.010417008399963379,-0.020005557355536052
258,gbdt,0.2,3,10,256,0.0051032304763793945,-0.019969777024751535
257,gbdt,0.2,3,10,128,0.004251670837402344,-0.019969777024751535
256,gbdt,0.2,3,10,64,0.0027149677276611327,-0.019969777024751535
255,gbdt,0.2,3,10,32,0.002235078811645508,-0.019969777024751535
254,gbdt,0.2,3,10,16,0.0027777910232543944,-0.019969777024751535
253,gbdt,0.2,3,10,8,0.0031699895858764648,-0.019969777024751535
1539,dart,0.2,3,100,256,0.020510196685791016,-0.01996699645211814
1538,dart,0.2,3,100,128,0.01845676898956299,-0.01996699645211814
1537,dart,0.2,3,100,64,0.019536805152893067,-0.01996699645211814
1536,dart,0.2,3,100,32,0.019139647483825684,-0.01996699645211814
1535,dart,0.2,3,100,16,0.018343067169189452,-0.01996699645211814
1534,dart,0.2,3,100,8,0.018563246726989745,-0.01996699645211814
1463,dart,0.1,10,25,4,0.0037583351135253907,-0.019963704301951806
1407,dart,0.1,8,25,4,0.0035341501235961912,-0.019963704301951806
1351,dart,0.1,6,25,4,0.005879831314086914,-0.019963704301951806
1379,dart,0.1,7,25,4,0.003916239738464356,-0.019963704301951806
1491,dart,0.1,-1,25,4,0.004537773132324219,-0.019963704301951806
1267,dart,0.1,3,25,4,0.0030292987823486326,-0.019963704301951806
1435,dart,0.1,9,25,4,0.00353701114654541,-0.019963704301951806
1323,dart,0.1,5,25,4,0.00542745590209961,-0.019963704301951806
1295,dart,0.1,4,25,4,0.003957629203796387,-0.019963704301951806
1515,dart,0.2,3,10,32,0.002341437339782715,-0.01981835566218304
1516,dart,0.2,3,10,64,0.0023482799530029296,-0.01981835566218304
1513,dart,0.2,3,10,8,0.002401447296142578,-0.01981835566218304
1517,dart,0.2,3,10,128,0.003398585319519043,-0.01981835566218304
1518,dart,0.2,3,10,256,0.0059291601181030275,-0.01981835566218304
1514,dart,0.2,3,10,16,0.0022858381271362305,-0.01981835566218304
91,gbdt,0.1,6,25,4,0.002838325500488281,-0.019804935075013533
7,gbdt,0.1,3,25,4,0.002892160415649414,-0.019804935075013533
147,gbdt,0.1,8,25,4,0.004833745956420899,-0.019804935075013533
175,gbdt,0.1,9,25,4,0.0029657840728759765,-0.019804935075013533
63,gbdt,0.1,5,25,4,0.002871870994567871,-0.019804935075013533
203,gbdt,0.1,10,25,4,0.002815389633178711,-0.019804935075013533
119,gbdt,0.1,7,25,4,0.002786993980407715,-0.019804935075013533
35,gbdt,0.1,4,25,4,0.0028411388397216798,-0.019804935075013533
231,gbdt,0.1,-1,25,4,0.005777382850646972,-0.019804935075013533
1499,dart,0.1,-1,50,8,0.007499313354492188,-0.019800420343862046
1443,dart,0.1,9,50,8,0.011843061447143555,-0.019800420343862046
1387,dart,0.1,7,50,8,0.011419939994812011,-0.019800420343862046
1415,dart,0.1,8,50,8,0.009070420265197754,-0.019800420343862046
1471,dart,0.1,10,50,8,0.00740816593170166,-0.019800420343862046
2317,dart,0.5,4,100,4,0.013003778457641602,-0.019798215796662248
2345,dart,0.5,5,100,4,0.01584608554840088,-0.019798215796662248
2373,dart,0.5,6,100,4,0.014298129081726074,-0.019798215796662248
2401,dart,0.5,7,100,4,0.015232157707214356,-0.019798215796662248
2429,dart,0.5,8,100,4,0.010843324661254882,-0.019798215796662248
2457,dart,0.5,9,100,4,0.015894412994384766,-0.019798215796662248
2289,dart,0.5,3,100,4,0.014048361778259277,-0.019798215796662248
2513,dart,0.5,-1,100,4,0.01152970790863037,-0.019798215796662248
2485,dart,0.5,10,100,4,0.015321063995361327,-0.019798215796662248
1359,dart,0.1,6,50,8,0.012110233306884766,-0.0197950198239873
1645,dart,0.2,7,100,4,0.013162755966186523,-0.019724006926036514
