,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
62,gbdt,0.1,5,10,256,0.004845905303955078,-0.2798025985924378
145,gbdt,0.1,8,10,128,0.013218307495117187,-0.27948551627630547
228,gbdt,0.1,-1,10,64,0.011317992210388183,-0.2794267249231249
117,gbdt,0.1,7,10,128,0.010654592514038086,-0.27928934167201624
118,gbdt,0.1,7,10,256,0.012506341934204102,-0.27928934167201624
172,gbdt,0.1,9,10,64,0.014315366744995117,-0.27858746267249623
200,gbdt,0.1,10,10,64,0.009467172622680663,-0.27797475461776494
144,gbdt,0.1,8,10,64,0.009151196479797364,-0.2777779243607513
116,gbdt,0.1,7,10,64,0.00868830680847168,-0.27724845274979176
87,gbdt,0.1,6,10,32,0.0059601783752441405,-0.27632818261541775
115,gbdt,0.1,7,10,32,0.006021475791931153,-0.2734307962618112
227,gbdt,0.1,-1,10,32,0.004912090301513672,-0.2725764970808531
199,gbdt,0.1,10,10,32,0.004886412620544433,-0.2725764970808531
171,gbdt,0.1,9,10,32,0.011076927185058594,-0.2725764970808531
143,gbdt,0.1,8,10,32,0.004833197593688965,-0.2725764970808531
88,gbdt,0.1,6,10,64,0.007211375236511231,-0.27254885020371156
90,gbdt,0.1,6,10,256,0.008507990837097168,-0.27254885020371156
89,gbdt,0.1,6,10,128,0.008075499534606933,-0.27254885020371156
1680,dart,0.2,9,10,4,0.003128504753112793,-0.25763185510083125
1652,dart,0.2,8,10,4,0.0018953561782836914,-0.25763185510083125
1624,dart,0.2,7,10,4,0.0020339250564575194,-0.25763185510083125
1596,dart,0.2,6,10,4,0.002460741996765137,-0.25763185510083125
1568,dart,0.2,5,10,4,0.0023710250854492186,-0.25763185510083125
1708,dart,0.2,10,10,4,0.00234375,-0.25763185510083125
1540,dart,0.2,4,10,4,0.002933955192565918,-0.25763185510083125
1512,dart,0.2,3,10,4,0.0027570486068725585,-0.25763185510083125
1736,dart,0.2,-1,10,4,0.003267383575439453,-0.25763185510083125
1511,dart,0.1,-1,100,256,0.28093082904815675,-0.2191359539623655
1483,dart,0.1,10,100,256,1.0714163303375244,-0.21545169224964342
1504,dart,0.1,-1,50,256,0.1264417886734009,-0.21475720454727804
1491,dart,0.1,-1,25,4,0.0038817405700683595,-0.21284110868923956
1463,dart,0.1,10,25,4,0.004006600379943848,-0.21284110868923956
1435,dart,0.1,9,25,4,0.003953027725219727,-0.21284110868923956
1295,dart,0.1,4,25,4,0.004564261436462403,-0.21284110868923956
1323,dart,0.1,5,25,4,0.005940055847167969,-0.21284110868923956
1351,dart,0.1,6,25,4,0.006792974472045898,-0.21284110868923956
1379,dart,0.1,7,25,4,0.00275568962097168,-0.21284110868923956
1267,dart,0.1,3,25,4,0.0036722421646118164,-0.21284110868923956
1407,dart,0.1,8,25,4,0.003778839111328125,-0.21284110868923956
392,gbdt,0.2,8,10,4,0.002069425582885742,-0.2112896408259662
476,gbdt,0.2,-1,10,4,0.0018248796463012696,-0.2112896408259662
448,gbdt,0.2,10,10,4,0.0018393516540527344,-0.2112896408259662
420,gbdt,0.2,9,10,4,0.0018334150314331054,-0.2112896408259662
364,gbdt,0.2,7,10,4,0.001874852180480957,-0.2112896408259662
336,gbdt,0.2,6,10,4,0.0022328376770019533,-0.2112896408259662
308,gbdt,0.2,5,10,4,0.0021179676055908202,-0.2112896408259662
280,gbdt,0.2,4,10,4,0.0022485971450805662,-0.2112896408259662
252,gbdt,0.2,3,10,4,0.001903367042541504,-0.2112896408259662
1455,dart,0.1,9,100,256,0.23090014457702637,-0.2105915440265883
1476,dart,0.1,10,50,256,0.11717445850372314,-0.21056374944070036
1510,dart,0.1,-1,100,128,0.8444833517074585,-0.2093830700290812
1482,dart,0.1,10,100,128,0.18213403224945068,-0.2066902579609931
1448,dart,0.1,9,50,256,0.10438597202301025,-0.2061575301453276
1503,dart,0.1,-1,50,128,0.09053924083709716,-0.20557022282334514
1454,dart,0.1,9,100,128,0.1673931360244751,-0.20422331388657727
1475,dart,0.1,10,50,128,0.0860304594039917,-0.2019661550699033
1447,dart,0.1,9,50,128,0.0887648344039917,-0.1995891971316823
1756,dart,0.2,-1,50,256,0.229340124130249,-0.1971143517509644
1427,dart,0.1,8,100,256,0.2311248302459717,-0.1953943000639039
1742,dart,0.2,-1,10,256,0.03594386577606201,-0.19425625141877537
1420,dart,0.1,8,50,256,0.09936940670013428,-0.19211183186981398
1714,dart,0.2,10,10,256,0.030015730857849122,-0.19207998744439364
1426,dart,0.1,8,100,128,0.15874624252319336,-0.19191899476698854
1741,dart,0.2,-1,10,128,0.02538936138153076,-0.1915885238632761
2008,dart,0.3,-1,50,256,0.8061887741088867,-0.1911792719988969
1728,dart,0.2,10,50,256,0.19258105754852295,-0.19115442650875572
1763,dart,0.2,-1,100,256,0.3923002004623413,-0.19018249153566122
1713,dart,0.2,10,10,128,0.02034025192260742,-0.190096737542388
2267,dart,0.4,-1,100,256,0.7171259641647338,-0.18908846366314344
2519,dart,0.5,-1,100,256,0.6219950914382935,-0.18895727495475312
2015,dart,0.3,-1,100,256,0.9255244255065918,-0.18878534678257144
1686,dart,0.2,9,10,256,0.028249621391296387,-0.1881069453648944
251,gbdt,0.1,-1,100,256,0.19972896575927734,-0.18808611614925153
1419,dart,0.1,8,50,128,0.08652150630950928,-0.1879369955272288
2505,dart,0.5,-1,25,256,0.1591259717941284,-0.1877794945271238
2260,dart,0.4,-1,50,256,0.23104455471038818,-0.18765868578161415
1252,gbdt,0.5,-1,50,256,0.10719726085662842,-0.18759982508712628
1259,gbdt,0.5,-1,100,256,0.16692771911621093,-0.18759982508712625
