,max_depth,max_features,max_leaf_nodes,n_estimators,oob_score,fit_time,target
706,7.0,sqrt,4.0,25,True,0.02066636085510254,-0.019714189708543838
771,8.0,log2,4.0,25,False,0.019151806831359863,-0.01970867929374374
390,5.0,log2,4.0,100,True,0.07971477508544922,-0.019706406587785597
131,3.0,log2,4.0,25,False,0.01932957172393799,-0.0197060583403832
37,2.0,log2,64.0,50,False,0.03829524517059326,-0.019692397541665862
96,2.0,sqrt,64.0,10,True,0.008211541175842284,-0.019688590199819635
87,2.0,sqrt,16.0,100,False,0.07441463470458984,-0.01968397304415683
258,4.0,log2,4.0,25,True,0.022875547409057617,-0.01967233839390916
645,7.0,log2,4.0,50,False,0.03735527992248535,-0.01967124211447852
71,2.0,sqrt,4.0,100,False,0.07357876300811768,-0.019661017377094036
900,9.0,log2,4.0,50,True,0.04012651443481445,-0.019653432792364797
8,2.0,log2,8.0,10,True,0.008126783370971679,-0.01965101126812362
1092,10.0,sqrt,4.0,50,True,0.04090707302093506,-0.01964984031977887
391,5.0,log2,4.0,100,False,0.07501716613769531,-0.019649217970715553
1095,10.0,sqrt,4.0,100,False,0.0736048698425293,-0.019641501823082518
903,9.0,log2,4.0,100,False,0.07320108413696289,-0.01962646740729807
195,3.0,sqrt,4.0,25,False,0.019908761978149413,-0.019625027771175203
1157,,log2,4.0,50,False,0.038361430168151855,-0.019609556865707208
838,8.0,sqrt,4.0,100,True,0.07978458404541015,-0.019599243537424996
960,9.0,sqrt,4.0,10,True,0.009022259712219238,-0.01959868760315395
88,2.0,sqrt,32.0,10,True,0.00850834846496582,-0.01959850868565
1033,10.0,log2,8.0,10,False,0.009114909172058105,-0.019588227679180722
322,4.0,sqrt,4.0,25,True,0.020319747924804687,-0.01957734058593984
504,5.0,sqrt,,10,True,0.008744168281555175,-0.019576998350135297
1223,,sqrt,4.0,100,False,0.0760308027267456,-0.01957605740573793
327,4.0,sqrt,4.0,100,False,0.07340192794799805,-0.019570204493387616
1159,,log2,4.0,100,False,0.07410075664520263,-0.019568431036761664
647,7.0,log2,4.0,100,False,0.0737994909286499,-0.019564248535596532
514,6.0,log2,4.0,25,True,0.020867919921875,-0.01956415937065747
505,5.0,sqrt,,10,False,0.008576607704162598,-0.019559764399683356
453,5.0,sqrt,4.0,50,False,0.03831615447998047,-0.01955332167379973
197,3.0,sqrt,4.0,50,False,0.03729147911071777,-0.019551876325180233
644,7.0,log2,4.0,50,True,0.040455079078674315,-0.019543223976625314
193,3.0,sqrt,4.0,10,False,0.007479953765869141,-0.01953074529366908
1219,,sqrt,4.0,25,False,0.01955907344818115,-0.019526076929405722
263,4.0,log2,4.0,100,False,0.07493405342102051,-0.019525650227241523
101,2.0,sqrt,64.0,50,False,0.03777792453765869,-0.019517651596013253
1217,,sqrt,4.0,10,False,0.007798957824707031,-0.019497587845171645
196,3.0,sqrt,4.0,50,True,0.04228637218475342,-0.019489071191807754
775,8.0,log2,4.0,100,False,0.07409276962280273,-0.01948603865985237
68,2.0,sqrt,4.0,50,True,0.041422343254089354,-0.019480022825849357
966,9.0,sqrt,4.0,100,True,0.07864153385162354,-0.019474837322507786
28,2.0,log2,32.0,50,True,0.03941254615783692,-0.019461280390485
710,7.0,sqrt,4.0,100,True,0.07932898998260499,-0.019432556696661208
22,2.0,log2,16.0,100,True,0.07809998989105224,-0.019430638826642702
11,2.0,log2,8.0,25,False,0.01933128833770752,-0.019426245525110197
967,9.0,sqrt,4.0,100,False,0.0730757474899292,-0.01942355385741277
1222,,sqrt,4.0,100,True,0.07894775867462159,-0.01942032703808028
4,2.0,log2,4.0,50,True,0.04277455806732178,-0.019417296184269222
89,2.0,sqrt,32.0,10,False,0.008216643333435058,-0.019416251814484958
36,2.0,log2,64.0,50,True,0.039786577224731445,-0.019398854962989237
16,2.0,log2,16.0,10,True,0.0087355375289917,-0.019397792959897835
21,2.0,log2,16.0,50,False,0.03660647869110108,-0.019396892507013735
134,3.0,log2,4.0,100,True,0.07950167655944824,-0.019396614564277388
117,2.0,sqrt,256.0,50,False,0.03852026462554932,-0.01939374690316343
104,2.0,sqrt,128.0,10,True,0.008603549003601075,-0.01939320307682259
72,2.0,sqrt,8.0,10,True,0.008199977874755859,-0.019388860116329933
262,4.0,log2,4.0,100,True,0.07903075218200684,-0.01938862341741755
1156,,log2,4.0,50,True,0.04039642810821533,-0.019386438466791427
1155,,log2,4.0,25,False,0.01916215419769287,-0.01938635449832546
23,2.0,log2,16.0,100,False,0.07347960472106933,-0.019371358909273936
75,2.0,sqrt,8.0,25,False,0.019542622566223144,-0.019368995666620134
48,2.0,log2,256.0,10,True,0.008101177215576173,-0.01936756136561779
65,2.0,sqrt,4.0,10,False,0.007779622077941894,-0.019353667455520036
578,6.0,sqrt,4.0,25,True,0.020707154273986818,-0.01932461436914704
255,3.0,sqrt,,100,False,0.07569565773010253,-0.019323146061901088
115,2.0,sqrt,256.0,25,False,0.01926255226135254,-0.01931355056432151
325,4.0,sqrt,4.0,50,False,0.03791937828063965,-0.019312140927922675
51,2.0,log2,256.0,25,False,0.019084620475769042,-0.019309786713893433
513,6.0,log2,4.0,10,False,0.007982134819030762,-0.0193073136778936
583,6.0,sqrt,4.0,100,False,0.0735515832901001,-0.01930296668715517
53,2.0,log2,256.0,50,False,0.0389878511428833,-0.01930079793311517
108,2.0,sqrt,128.0,50,True,0.04075987339019775,-0.019292088324525523
455,5.0,sqrt,4.0,100,False,0.07604990005493165,-0.019288759363822242
187,3.0,log2,,25,False,0.01977236270904541,-0.01928141006952405
128,3.0,log2,4.0,10,True,0.00842599868774414,-0.01928051648785911
103,2.0,sqrt,64.0,100,False,0.07440011501312256,-0.019279102639215725
519,6.0,log2,4.0,100,False,0.07451322078704833,-0.019277378161939016
254,3.0,sqrt,,100,True,0.08569393157958985,-0.019277166013555877
324,4.0,sqrt,4.0,50,True,0.04063360691070557,-0.019271675618205877
1153,,log2,4.0,10,False,0.007399821281433105,-0.01926945076261245
962,9.0,sqrt,4.0,25,True,0.021105194091796876,-0.01926291066771623
1221,,sqrt,4.0,50,False,0.03763456344604492,-0.019261257175371013
839,8.0,sqrt,4.0,100,False,0.07566609382629394,-0.019259147313023323
902,9.0,log2,4.0,100,True,0.07970144748687744,-0.019257491882550107
95,2.0,sqrt,32.0,100,False,0.07456915378570557,-0.019252529833359733
642,7.0,log2,4.0,25,True,0.022206878662109374,-0.019251669469545422
78,2.0,sqrt,8.0,100,True,0.08071308135986328,-0.019243932617333686
2,2.0,log2,4.0,25,True,0.021012163162231444,-0.019237861653834766
107,2.0,sqrt,128.0,25,False,0.02181401252746582,-0.01923756950107626
