,boosting_type,learning_rate,max_depth,n_estimators,num_leaves,fit_time,target
393,gbdt,0.2,8,10,8,0.009001421928405761,-0.13817089667039265
449,gbdt,0.2,10,10,8,0.009357547760009766,-0.13817089667039265
337,gbdt,0.2,6,10,8,0.011484241485595703,-0.13817089667039265
365,gbdt,0.2,7,10,8,0.01014566421508789,-0.13817089667039265
421,gbdt,0.2,9,10,8,0.0057719707489013675,-0.13817089667039265
1544,dart,0.2,4,10,64,0.006459712982177734,-0.13612317250783126
1545,dart,0.2,4,10,128,0.006400108337402344,-0.13612317250783126
1546,dart,0.2,4,10,256,0.006286048889160156,-0.13612317250783126
1542,dart,0.2,4,10,16,0.006727910041809082,-0.13612317250783126
1543,dart,0.2,4,10,32,0.006311202049255371,-0.13612317250783126
1303,dart,0.1,4,50,8,0.019475769996643067,-0.13522306049763524
1471,dart,0.1,10,50,8,0.019687342643737792,-0.13477616446837837
1359,dart,0.1,6,50,8,0.01991162300109863,-0.13477616446837837
1443,dart,0.1,9,50,8,0.01919863224029541,-0.13477616446837837
1415,dart,0.1,8,50,8,0.01907637119293213,-0.13477616446837837
1387,dart,0.1,7,50,8,0.019290614128112792,-0.13477616446837837
1499,dart,0.1,-1,50,8,0.017214179039001465,-0.13477616446837837
1331,dart,0.1,5,50,8,0.01650557518005371,-0.13463720239531587
728,gbdt,0.3,-1,10,4,0.0031662225723266602,-0.13245076061554337
616,gbdt,0.3,7,10,4,0.0033035993576049803,-0.13245076061554337
532,gbdt,0.3,4,10,4,0.0032869815826416016,-0.13245076061554337
588,gbdt,0.3,6,10,4,0.0032613992691040037,-0.13245076061554337
644,gbdt,0.3,8,10,4,0.003632330894470215,-0.13245076061554337
672,gbdt,0.3,9,10,4,0.0028931140899658204,-0.13245076061554337
504,gbdt,0.3,3,10,4,0.004904818534851074,-0.13245076061554337
560,gbdt,0.3,5,10,4,0.004295516014099121,-0.13245076061554337
700,gbdt,0.3,10,10,4,0.003019905090332031,-0.13245076061554337
1284,dart,0.1,3,100,32,0.03434264659881592,-0.1293684721382716
1282,dart,0.1,3,100,8,0.03516929149627686,-0.1293684721382716
1285,dart,0.1,3,100,64,0.03493142127990723,-0.1293684721382716
1287,dart,0.1,3,100,256,0.03913810253143311,-0.1293684721382716
1286,dart,0.1,3,100,128,0.03678467273712158,-0.1293684721382716
1283,dart,0.1,3,100,16,0.03652799129486084,-0.1293684721382716
1710,dart,0.2,10,10,16,0.012407803535461425,-0.12859033216017277
1738,dart,0.2,-1,10,16,0.007285189628601074,-0.12859033216017277
1682,dart,0.2,9,10,16,0.007174849510192871,-0.12859033216017277
1654,dart,0.2,8,10,16,0.00889899730682373,-0.12859033216017277
1626,dart,0.2,7,10,16,0.006989216804504395,-0.12859033216017277
1570,dart,0.2,5,10,16,0.007952451705932617,-0.12858941024348902
1598,dart,0.2,6,10,16,0.008109378814697265,-0.12848179088398015
1310,dart,0.1,4,100,8,0.048574638366699216,-0.1216243958059062
11,gbdt,0.1,3,25,64,0.0060149431228637695,-0.1211805987093297
10,gbdt,0.1,3,25,32,0.007730841636657715,-0.1211805987093297
9,gbdt,0.1,3,25,16,0.006489753723144531,-0.1211805987093297
13,gbdt,0.1,3,25,256,0.006783175468444824,-0.1211805987093297
12,gbdt,0.1,3,25,128,0.007240724563598633,-0.1211805987093297
8,gbdt,0.1,3,25,8,0.006599879264831543,-0.1211805987093297
1422,dart,0.1,8,100,8,0.04112575054168701,-0.12074896299484403
1450,dart,0.1,9,100,8,0.04299497604370117,-0.12074896299484403
1366,dart,0.1,6,100,8,0.04037027359008789,-0.12074896299484403
1394,dart,0.1,7,100,8,0.04186680316925049,-0.12074896299484403
1478,dart,0.1,10,100,8,0.04175741672515869,-0.12074896299484403
1506,dart,0.1,-1,100,8,0.045403361320495605,-0.12074896299484403
1338,dart,0.1,5,100,8,0.043384361267089847,-0.12073831367981161
1304,dart,0.1,4,50,16,0.023872923851013184,-0.1172768289453985
1305,dart,0.1,4,50,32,0.024687862396240233,-0.1172768289453985
1306,dart,0.1,4,50,64,0.027763891220092773,-0.1172768289453985
1307,dart,0.1,4,50,128,0.05355825424194336,-0.1172768289453985
1308,dart,0.1,4,50,256,0.033554887771606444,-0.1172768289453985
2128,dart,0.4,7,10,4,0.005010080337524414,-0.11454511580421003
2184,dart,0.4,9,10,4,0.0030713796615600584,-0.11454511580421003
2212,dart,0.4,10,10,4,0.0030416011810302734,-0.11454511580421003
2240,dart,0.4,-1,10,4,0.003156161308288574,-0.11454511580421003
2156,dart,0.4,8,10,4,0.003189349174499512,-0.11454511580421003
2100,dart,0.4,6,10,4,0.006578564643859863,-0.11454511580421003
2072,dart,0.4,5,10,4,0.0030835866928100586,-0.11454511580421003
2044,dart,0.4,4,10,4,0.0035164594650268556,-0.11454511580421003
2016,dart,0.4,3,10,4,0.0031107187271118162,-0.11454511580421003
1768,dart,0.3,3,10,64,0.005776810646057129,-0.11216872879850977
1769,dart,0.3,3,10,128,0.005867981910705566,-0.11216872879850977
1770,dart,0.3,3,10,256,0.005697941780090332,-0.11216872879850977
1766,dart,0.3,3,10,16,0.004411888122558594,-0.11216872879850977
1767,dart,0.3,3,10,32,0.005638790130615234,-0.11216872879850977
1765,dart,0.3,3,10,8,0.0050933837890625,-0.11216872879850977
1574,dart,0.2,5,10,256,0.009405207633972169,-0.11155505856634615
1572,dart,0.2,5,10,64,0.008668804168701172,-0.11155505856634615
1571,dart,0.2,5,10,32,0.008242225646972657,-0.11155505856634615
1573,dart,0.2,5,10,128,0.00948946475982666,-0.11155505856634615
1360,dart,0.1,6,50,16,0.03004782199859619,-0.11147766776803429
1332,dart,0.1,5,50,16,0.025153493881225585,-0.11130771895284773
