,@preprocessor,bootstrap,criterion,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,group,time
153,NoneType,False,entropy,NoneType,0.45,4,2,256,14,36.188398599624634
154,PCA,True,gini,NoneType,0.25,20,18,512,14,6.039963483810425
155,NoneType,True,gini,12,0.2,20,20,128,14,1.5501561164855957
156,PCA,True,entropy,12,0.15000000000000002,20,2,512,14,13.947335243225098
157,NoneType,False,entropy,NoneType,0.3,11,2,128,14,11.223144769668579
158,NoneType,False,entropy,NoneType,0.3,6,19,64,14,6.244353532791138
159,PCA,False,entropy,10,0.15000000000000002,19,20,32,14,2.3369851112365723
160,PCA,False,entropy,12,0.45,2,16,16,14,3.1261978149414062
161,NoneType,True,entropy,8,0.25,8,18,64,14,3.2219672203063965
162,NoneType,False,gini,NoneType,0.05,2,9,512,14,3.2307450771331787
163,NoneType,False,gini,12,0.45,14,16,512,14,17.043522596359253
164,PCA,True,gini,12,0.4,20,2,8,14,0.9370958805084229
165,PCA,False,entropy,9,0.05,20,3,8,14,1.0307581424713135
166,NoneType,True,gini,9,0.45,5,3,8,14,0.6202232837677002
167,NoneType,False,entropy,12,0.25,2,2,64,14,5.722589492797852
168,NoneType,False,gini,9,0.45,1,2,64,14,2.62076473236084
169,PCA,True,gini,NoneType,0.2,4,3,32,14,1.2370123863220215
170,NoneType,False,entropy,12,0.2,2,20,32,14,2.53056263923645
171,NoneType,False,entropy,11,0.35000000000000003,1,3,32,14,4.014429569244385
172,PCA,False,entropy,NoneType,0.45,14,6,64,14,8.744975805282593
173,NoneType,True,entropy,9,0.2,1,19,512,14,20.363109827041626
174,NoneType,False,gini,8,0.45,20,20,16,14,0.8375725746154785
175,NoneType,False,entropy,10,0.3,2,5,128,14,12.359300136566162
176,PCA,True,gini,NoneType,0.25,2,2,256,14,4.442684173583984
177,PCA,True,gini,8,0.2,18,20,512,14,5.137583017349243
178,NoneType,False,entropy,8,0.4,11,2,32,14,3.9208285808563232
